# rank	id	score	soft_hallu	soft_object	global_hallu	global_object	count_hallu	count_object
103	266	0.008919	0.049915	0.040996	0.083301	0.045301	3	9
104	778	0.006587	0.041336	0.034749	0.097548	0.071620	2	3
105	417	0.004200	0.004200	-0.008148	0.059443	0.005469	2	24
106	797	0.003003	0.006211	0.003208	0.117052	0.022643	4	19
107	297	0.001677	0.004025	0.002348	-0.023152	0.046855	4	11
108	98	-0.000228	-0.000228	-0.126998	-0.017144	-0.165121	12	3
109	907	-0.000644	-0.000644	-0.001928	-0.000879	0.155775	12	11
110	660	-0.001569	0.037761	0.039330	0.104877	0.057697	3	14
111	206	-0.002075	-0.002075	-0.074500	0.033744	-0.009116	3	12
112	336	-0.002561	0.001113	0.003674	0.000064	0.078207	3	16
113	526	-0.003612	-0.001948	0.001663	0.055263	0.015608	4	13
114	317	-0.003921	-0.003921	-0.032749	0.105824	0.079319	6	9
115	655	-0.005616	0.000956	0.006572	0.062272	0.013119	2	13
116	26	-0.006155	0.004827	0.010982	-0.004715	0.087185	8	8
117	6	-0.006735	0.031654	0.038389	-0.001256	0.067019	2	12
118	47	-0.007914	-0.004722	0.003192	-0.000786	0.022304	6	10
119	252	-0.008107	-0.004605	0.003502	0.023550	0.065168	3	15
120	779	-0.008262	-0.008262	-0.024930	-0.005610	0.049456	2	4
121	943	-0.008782	-0.008782	-0.065207	-0.098521	-0.013792	3	7
122	213	-0.009195	-0.009195	-0.014490	0.105335	0.082875	3	6
123	256	-0.010022	-0.001957	0.008065	0.059869	0.022183	5	10
124	915	-0.010282	-0.010282	-0.018430	0.061329	-0.005788	2	10
125	350	-0.011953	-0.011953	-0.003823	0.033840	-0.021692	3	11
126	401	-0.012595	-0.012595	-0.106331	0.070537	-0.053896	3	6
127	346	-0.012788	-0.012788	-0.080667	0.117194	-0.021798	4	7
128	580	-0.016073	0.006420	0.022493	0.039300	0.122468	9	4
129	986	-0.016635	-0.016635	-0.087849	-0.051805	-0.071034	3	5
130	599	-0.020785	-0.020785	-0.032898	-0.006749	-0.051150	10	10
131	222	-0.021835	-0.017287	0.004548	-0.013253	0.024072	4	17
132	50	-0.022579	-0.013089	0.009490	-0.100050	0.087918	6	8
133	329	-0.023521	-0.023521	-0.025775	-0.015688	-0.030102	4	12
134	673	-0.024338	-0.004882	0.019457	0.016557	0.065033	2	11
135	199	-0.024730	-0.024730	-0.024661	0.030803	-0.026373	7	9
136	384	-0.028701	0.011269	0.039970	0.023628	0.186692	6	13
137	129	-0.028812	-0.028812	-0.019605	0.115431	-0.047450	2	7
138	792	-0.029555	-0.029555	-0.016282	-0.042276	-0.001105	8	17
139	379	-0.030028	-0.003849	0.026178	-0.042519	0.087213	3	16
140	630	-0.030317	-0.002806	0.027511	-0.025254	0.034088	2	7
141	67	-0.030642	-0.030642	-0.073301	-0.002764	-0.021216	5	7
142	868	-0.031239	-0.031239	-0.010759	-0.083881	0.031486	3	9
143	631	-0.033349	0.002471	0.035820	0.010307	0.055852	4	13
144	926	-0.034797	-0.034797	-0.021600	0.211613	-0.008360	3	7
145	632	-0.035011	-0.035011	-0.020023	-0.059319	-0.004401	6	11
146	936	-0.036930	-0.036930	-0.036501	0.044635	-0.001235	4	9
147	858	-0.037169	0.023943	0.061112	0.032922	0.133950	2	8
148	127	-0.037497	-0.009893	0.027605	0.058426	0.039542	7	10
149	78	-0.037576	-0.037576	-0.035355	0.086646	0.075272	2	4
150	77	-0.040059	-0.040059	-0.008375	-0.143962	0.022195	4	16
151	838	-0.043596	-0.043596	-0.012832	0.100437	-0.035407	2	3
152	644	-0.045098	-0.045098	-0.028879	-0.001546	0.055654	4	6
153	286	-0.045713	-0.045713	-0.047699	0.136067	-0.051542	3	10
154	289	-0.046073	-0.008651	0.037422	0.136236	0.055293	3	14
155	76	-0.050047	-0.000248	0.049800	0.054787	0.065586	3	11
156	122	-0.050901	-0.045805	0.005095	-0.081102	0.067078	4	13
157	341	-0.055662	-0.055662	-0.091972	0.053412	-0.050633	2	6
158	95	-0.058024	-0.057889	0.000136	0.018696	0.128717	3	9
159	106	-0.058232	-0.058232	-0.080357	-0.067417	-0.112291	2	7
160	775	-0.060929	-0.060929	-0.004354	0.139350	0.048640	2	10
161	471	-0.065626	-0.030673	0.034952	-0.115822	0.055288	2	9
162	714	-0.072774	-0.072774	-0.007441	-0.106131	0.067911	2	10
163	97	-0.073260	-0.073260	-0.009040	-0.145180	0.040164	3	6
164	312	-0.075038	-0.075038	-0.006393	-0.030108	0.035901	2	8
