id,score,n_hallu,n_object,len,g_mean_hallu,g_mean_object,g_mean_other,s_mean_hallu,s_mean_object,s_mean_other,quadrant_global,quadrant_soft,image_file
1,0.00946368376171449,3,4,126,0.07310588556720177,-0.09362280182540417,0.08577658501004223,0.05636348808184266,-0.08572793379426003,0.009192727407622192,ideal,ideal,AMBER_1.jpg
6,0.12126580542076983,2,12,129,-0.0012560972245410085,0.06701945815549,0.07099018266660848,0.017526211740914732,0.030991044596172895,0.010367620907266468,bad_both,sledgehammer,AMBER_6.jpg
14,0.050779962539672846,2,11,121,-0.004705846309661865,0.06279987503181804,0.06735056530663786,-0.09859371185302734,0.011381931602954865,0.0037587733368927394,bad_both,bad_both,AMBER_14.jpg
19,0.8075853266494232,3,5,138,0.5400597765110433,0.019107306003570558,0.061220844958008384,0.23534970796026755,-0.0506205677986145,0.0035381600118363655,sledgehammer,ideal,AMBER_19.jpg
22,0.48673223619407513,2,4,69,0.7416801278013736,-0.24989108741283417,0.053573926702642535,0.10651923748082481,-0.18354086205363274,0.00012382322032834285,ideal,ideal,AMBER_22.jpg
23,-0.4117541168257594,2,5,104,-0.2414999008178711,0.0060905106365680695,0.10335250017088424,-0.27036070823669434,-0.004665963631123304,0.009285868744704315,bad_both,bad_hallu,AMBER_23.jpg
24,0.43926409747252565,9,6,124,0.08996910471306466,0.15016074259377396,0.07421763944457906,0.014586751266152633,-0.007275527639042896,0.01234120366643765,sledgehammer,ideal,AMBER_24.jpg
25,0.13571074788009616,7,5,121,0.06453982130291738,0.03475819826126099,0.045445697391345956,0.007118617475498468,0.008566784858703613,0.002787665562305396,sledgehammer,sledgehammer,AMBER_25.jpg
26,0.17239813258238426,8,8,106,-0.00471515706522041,0.08718544684234075,0.07043759131455679,-0.0003431154673307901,0.012045427148677845,0.00709121730556548,bad_both,bad_both,AMBER_26.jpg
35,-0.06694059475412359,2,4,110,-0.12717435508966446,0.091742747965327,0.08825534376224088,-0.14919570833444595,0.030969407795055304,0.011043077923165338,bad_both,bad_both,AMBER_35.jpg
36,0.10242683951011193,4,7,117,-0.016643817245494574,0.04594858203615461,0.0706097724717026,0.023070515948347747,-0.0015286792601857866,0.003157015134633493,bad_both,ideal,AMBER_36.jpg
39,0.2024558553203013,2,11,89,0.06256649270653725,0.04658929695027713,0.07261705321268078,0.05055024195462465,-0.0016731166290975868,0.017321474811162238,sledgehammer,ideal,AMBER_39.jpg
47,0.04339947500920971,6,10,111,-0.000786456890637055,0.022304269671440124,0.08252866278687035,-0.0046355917074834,0.0013654559850692749,0.01471386386074061,bad_both,bad_both,AMBER_47.jpg
50,0.02891955102483431,6,8,127,-0.10005023702979088,0.0879181819036603,0.08735735700119487,-0.05381453906496366,0.022316695656627417,0.008735748359690942,bad_both,bad_both,AMBER_50.jpg
