Rank 0126 | id=596 | hallu=1 object=17 len=114 | score=12.087129 | pass_gate=False | case_596_rank_0126_h1_o17.png
Rank 0128 | id=752 | hallu=1 object=1 len=69 | score=12.018963 | pass_gate=False | case_752_rank_0128_h1_o1.png
Rank 0129 | id=224 | hallu=1 object=2 len=91 | score=12.016551 | pass_gate=False | case_224_rank_0129_h1_o2.png
Rank 0130 | id=509 | hallu=1 object=15 len=110 | score=11.979555 | pass_gate=False | case_509_rank_0130_h1_o15.png
Rank 0131 | id=32 | hallu=1 object=7 len=70 | score=11.969429 | pass_gate=False | case_32_rank_0131_h1_o7.png
Rank 0132 | id=773 | hallu=1 object=9 len=105 | score=11.946697 | pass_gate=False | case_773_rank_0132_h1_o9.png
Rank 0134 | id=999 | hallu=1 object=12 len=115 | score=11.900426 | pass_gate=False | case_999_rank_0134_h1_o12.png
Rank 0135 | id=342 | hallu=1 object=20 len=111 | score=11.892663 | pass_gate=False | case_342_rank_0135_h1_o20.png
Rank 0137 | id=453 | hallu=6 object=1 len=129 | score=11.867544 | pass_gate=False | case_453_rank_0137_h6_o1.png
Rank 0140 | id=397 | hallu=1 object=12 len=127 | score=11.782489 | pass_gate=False | case_397_rank_0140_h1_o12.png
Rank 0145 | id=608 | hallu=1 object=11 len=116 | score=11.695053 | pass_gate=False | case_608_rank_0145_h1_o11.png
Rank 0147 | id=269 | hallu=1 object=13 len=116 | score=11.654454 | pass_gate=False | case_269_rank_0147_h1_o13.png
Rank 0151 | id=319 | hallu=1 object=12 len=134 | score=11.532260 | pass_gate=False | case_319_rank_0151_h1_o12.png
Rank 0156 | id=625 | hallu=1 object=7 len=87 | score=11.336258 | pass_gate=False | case_625_rank_0156_h1_o7.png
Rank 0158 | id=371 | hallu=1 object=25 len=116 | score=11.324619 | pass_gate=False | case_371_rank_0158_h1_o25.png
Rank 0164 | id=118 | hallu=1 object=10 len=107 | score=11.226616 | pass_gate=False | case_118_rank_0164_h1_o10.png
Rank 0166 | id=684 | hallu=1 object=13 len=98 | score=11.200259 | pass_gate=False | case_684_rank_0166_h1_o13.png
Rank 0168 | id=577 | hallu=1 object=3 len=82 | score=11.168510 | pass_gate=False | case_577_rank_0168_h1_o3.png
Rank 0170 | id=85 | hallu=1 object=7 len=102 | score=11.054286 | pass_gate=False | case_85_rank_0170_h1_o7.png
Rank 0172 | id=656 | hallu=1 object=10 len=110 | score=11.040237 | pass_gate=False | case_656_rank_0172_h1_o10.png
Rank 0173 | id=921 | hallu=1 object=10 len=106 | score=11.023947 | pass_gate=False | case_921_rank_0173_h1_o10.png
Rank 0174 | id=862 | hallu=1 object=4 len=121 | score=10.994578 | pass_gate=False | case_862_rank_0174_h1_o4.png
Rank 0175 | id=147 | hallu=1 object=11 len=103 | score=10.981647 | pass_gate=False | case_147_rank_0175_h1_o11.png
Rank 0179 | id=190 | hallu=1 object=6 len=67 | score=10.924660 | pass_gate=False | case_190_rank_0179_h1_o6.png
Rank 0180 | id=796 | hallu=1 object=3 len=96 | score=10.912081 | pass_gate=False | case_796_rank_0180_h1_o3.png
Rank 0182 | id=316 | hallu=1 object=8 len=108 | score=10.869603 | pass_gate=False | case_316_rank_0182_h1_o8.png
Rank 0186 | id=739 | hallu=1 object=9 len=83 | score=10.753554 | pass_gate=False | case_739_rank_0186_h1_o9.png
Rank 0187 | id=300 | hallu=1 object=17 len=107 | score=10.714927 | pass_gate=False | case_300_rank_0187_h1_o17.png
Rank 0192 | id=13 | hallu=1 object=9 len=105 | score=10.575772 | pass_gate=False | case_13_rank_0192_h1_o9.png
Rank 0194 | id=681 | hallu=1 object=14 len=88 | score=10.506490 | pass_gate=False | case_681_rank_0194_h1_o14.png
Rank 0195 | id=737 | hallu=1 object=9 len=109 | score=10.485268 | pass_gate=False | case_737_rank_0195_h1_o9.png
Rank 0197 | id=306 | hallu=1 object=20 len=98 | score=10.456490 | pass_gate=False | case_306_rank_0197_h1_o20.png
Rank 0198 | id=731 | hallu=1 object=10 len=102 | score=10.434869 | pass_gate=False | case_731_rank_0198_h1_o10.png
Rank 0201 | id=606 | hallu=1 object=10 len=116 | score=10.271687 | pass_gate=False | case_606_rank_0201_h1_o10.png
Rank 0202 | id=514 | hallu=1 object=8 len=113 | score=10.248397 | pass_gate=False | case_514_rank_0202_h1_o8.png
Rank 0203 | id=353 | hallu=1 object=22 len=134 | score=10.157914 | pass_gate=False | case_353_rank_0203_h1_o22.png
Rank 0205 | id=372 | hallu=1 object=20 len=127 | score=10.132097 | pass_gate=False | case_372_rank_0205_h1_o20.png
Rank 0207 | id=467 | hallu=1 object=6 len=74 | score=10.038067 | pass_gate=False | case_467_rank_0207_h1_o6.png
Rank 0213 | id=423 | hallu=1 object=11 len=91 | score=9.755181 | pass_gate=False | case_423_rank_0213_h1_o11.png
Rank 0214 | id=429 | hallu=1 object=7 len=70 | score=9.723794 | pass_gate=False | case_429_rank_0214_h1_o7.png
Rank 0216 | id=527 | hallu=1 object=8 len=70 | score=9.703299 | pass_gate=False | case_527_rank_0216_h1_o8.png
Rank 0218 | id=622 | hallu=1 object=16 len=104 | score=9.678031 | pass_gate=False | case_622_rank_0218_h1_o16.png
Rank 0220 | id=909 | hallu=1 object=8 len=93 | score=9.561417 | pass_gate=False | case_909_rank_0220_h1_o8.png
Rank 0221 | id=491 | hallu=1 object=15 len=126 | score=9.549037 | pass_gate=False | case_491_rank_0221_h1_o15.png
Rank 0225 | id=572 | hallu=1 object=10 len=98 | score=9.402051 | pass_gate=False | case_572_rank_0225_h1_o10.png
Rank 0226 | id=430 | hallu=1 object=10 len=107 | score=9.378824 | pass_gate=False | case_430_rank_0226_h1_o10.png
Rank 0228 | id=877 | hallu=1 object=7 len=107 | score=9.314659 | pass_gate=False | case_877_rank_0228_h1_o7.png
Rank 0230 | id=648 | hallu=1 object=7 len=83 | score=9.307108 | pass_gate=False | case_648_rank_0230_h1_o7.png
Rank 0234 | id=395 | hallu=1 object=8 len=102 | score=9.135736 | pass_gate=False | case_395_rank_0234_h1_o8.png
Rank 0238 | id=637 | hallu=1 object=7 len=75 | score=8.939487 | pass_gate=False | case_637_rank_0238_h1_o7.png
Rank 0242 | id=54 | hallu=1 object=7 len=74 | score=8.794007 | pass_gate=False | case_54_rank_0242_h1_o7.png
Rank 0251 | id=386 | hallu=1 object=17 len=80 | score=8.400747 | pass_gate=False | case_386_rank_0251_h1_o17.png
Rank 0253 | id=402 | hallu=1 object=17 len=62 | score=8.302627 | pass_gate=False | case_402_rank_0253_h1_o17.png
Rank 0255 | id=124 | hallu=1 object=2 len=74 | score=8.230264 | pass_gate=False | case_124_rank_0255_h1_o2.png
Rank 0259 | id=595 | hallu=1 object=10 len=84 | score=8.040810 | pass_gate=False | case_595_rank_0259_h1_o10.png
Rank 0260 | id=923 | hallu=1 object=7 len=89 | score=7.982473 | pass_gate=False | case_923_rank_0260_h1_o7.png
Rank 0261 | id=534 | hallu=1 object=13 len=68 | score=7.975544 | pass_gate=False | case_534_rank_0261_h1_o13.png
Rank 0262 | id=159 | hallu=1 object=7 len=102 | score=7.966629 | pass_gate=False | case_159_rank_0262_h1_o7.png
Rank 0264 | id=110 | hallu=1 object=8 len=116 | score=7.771330 | pass_gate=False | case_110_rank_0264_h1_o8.png
Rank 0265 | id=872 | hallu=1 object=17 len=118 | score=7.679835 | pass_gate=False | case_872_rank_0265_h1_o17.png
Rank 0266 | id=994 | hallu=1 object=9 len=78 | score=7.646854 | pass_gate=False | case_994_rank_0266_h1_o9.png
Rank 0267 | id=166 | hallu=1 object=5 len=78 | score=7.614099 | pass_gate=False | case_166_rank_0267_h1_o5.png
Rank 0268 | id=982 | hallu=1 object=7 len=74 | score=7.552915 | pass_gate=False | case_982_rank_0268_h1_o7.png
Rank 0269 | id=368 | hallu=1 object=16 len=104 | score=7.471603 | pass_gate=False | case_368_rank_0269_h1_o16.png
Rank 0270 | id=433 | hallu=1 object=1 len=66 | score=7.453902 | pass_gate=False | case_433_rank_0270_h1_o1.png
Rank 0272 | id=801 | hallu=1 object=9 len=75 | score=7.358633 | pass_gate=False | case_801_rank_0272_h1_o9.png
Rank 0276 | id=212 | hallu=1 object=10 len=120 | score=7.189739 | pass_gate=False | case_212_rank_0276_h1_o10.png
Rank 0277 | id=524 | hallu=1 object=10 len=116 | score=7.053055 | pass_gate=False | case_524_rank_0277_h1_o10.png
Rank 0279 | id=738 | hallu=1 object=4 len=55 | score=7.003338 | pass_gate=False | case_738_rank_0279_h1_o4.png
Rank 0280 | id=519 | hallu=1 object=2 len=67 | score=6.980335 | pass_gate=False | case_519_rank_0280_h1_o2.png
Rank 0282 | id=939 | hallu=1 object=8 len=85 | score=6.852080 | pass_gate=False | case_939_rank_0282_h1_o8.png
Rank 0283 | id=784 | hallu=1 object=4 len=98 | score=6.847421 | pass_gate=False | case_784_rank_0283_h1_o4.png
Rank 0291 | id=674 | hallu=1 object=12 len=106 | score=6.520216 | pass_gate=False | case_674_rank_0291_h1_o12.png
Rank 0292 | id=99 | hallu=1 object=9 len=89 | score=6.486378 | pass_gate=False | case_99_rank_0292_h1_o9.png
Rank 0295 | id=49 | hallu=1 object=10 len=122 | score=6.414595 | pass_gate=False | case_49_rank_0295_h1_o10.png
Rank 0297 | id=895 | hallu=1 object=5 len=76 | score=6.335830 | pass_gate=False | case_895_rank_0297_h1_o5.png
Rank 0299 | id=511 | hallu=1 object=12 len=85 | score=6.200637 | pass_gate=False | case_511_rank_0299_h1_o12.png
Rank 0300 | id=63 | hallu=1 object=3 len=66 | score=6.182266 | pass_gate=False | case_63_rank_0300_h1_o3.png
Rank 0301 | id=537 | hallu=1 object=17 len=129 | score=6.101607 | pass_gate=False | case_537_rank_0301_h1_o17.png
Rank 0302 | id=654 | hallu=1 object=11 len=110 | score=6.066604 | pass_gate=False | case_654_rank_0302_h1_o11.png
Rank 0305 | id=12 | hallu=1 object=6 len=72 | score=5.754330 | pass_gate=False | case_12_rank_0305_h1_o6.png
Rank 0306 | id=290 | hallu=1 object=7 len=84 | score=5.693686 | pass_gate=False | case_290_rank_0306_h1_o7.png
